SampleID,Assay,Type,Preserve
SRR769395_stool_RNAlater,RNA-Seq,stool,RNAlater
SRR769396_stool_Whole,RNA-Seq,stool,Whole
SRR769397_stool_ETOH,RNA-Seq,stool,ETOH
SRR769398_stool_Whole,RNA-Seq,stool,Whole
SRR769399_stool_ETOH,RNA-Seq,stool,ETOH
SRR769400_stool_Whole,RNA-Seq,stool,Whole
SRR769401_stool_RNAlater,RNA-Seq,stool,RNAlater
SRR769402_stool_Whole,RNA-Seq,stool,Whole
SRR769403_stool_Whole,RNA-Seq,stool,Whole
SRR769404_stool_RNAlater,RNA-Seq,stool,RNAlater
SRR769405_stool_RNAlater,RNA-Seq,stool,RNAlater
SRR769406_stool_ETOH,RNA-Seq,stool,ETOH
SRR769407_stool_RNAlater,RNA-Seq,stool,RNAlater
SRR769408_stool_ETOH,RNA-Seq,stool,ETOH
SRR769409_stool_ETOH,RNA-Seq,stool,ETOH
SRR769410_stool_Whole,RNA-Seq,stool,Whole
SRR769411_stool_ETOH,RNA-Seq,stool,ETOH
SRR769412_stool_Whole,RNA-Seq,stool,Whole
SRR769413_stool_RNAlater,RNA-Seq,stool,RNAlater
SRR769414_stool_ETOH,RNA-Seq,stool,ETOH
SRR769415_stool_Whole,RNA-Seq,stool,Whole
SRR769416_stool_RNAlater,RNA-Seq,stool,RNAlater
SRR769417_stool_Whole,RNA-Seq,stool,Whole
SRR769418_stool_RNAlater,RNA-Seq,stool,RNAlater
SRR769419_stool_RNAlater,RNA-Seq,stool,RNAlater
SRR769420_stool_ETOH,RNA-Seq,stool,ETOH
SRR769421_stool_ETOH,RNA-Seq,stool,ETOH
SRR769422_stool_Whole,RNA-Seq,stool,Whole
SRR769423_stool_ETOH,RNA-Seq,stool,ETOH
SRR769424_stool_Whole,RNA-Seq,stool,Whole
SRR769425_stool_Whole,RNA-Seq,stool,Whole
SRR769426_stool_Whole,RNA-Seq,stool,Whole
SRR769427_stool_ETOH,RNA-Seq,stool,ETOH
SRR769428_stool_ETOH,RNA-Seq,stool,ETOH
SRR769429_stool_RNAlater,RNA-Seq,stool,RNAlater
SRR769430_stool_ETOH,RNA-Seq,stool,ETOH
SRR769431_stool_RNAlater,RNA-Seq,stool,RNAlater
SRR769432_stool_ETOH,RNA-Seq,stool,ETOH
SRR769433_stool_RNAlater,RNA-Seq,stool,RNAlater
SRR769434_stool_Whole,RNA-Seq,stool,Whole
SRR769435_stool_RNAlater,RNA-Seq,stool,RNAlater
SRR769436_stool_RNAlater,RNA-Seq,stool,RNAlater
SRR769437_stool_ETOH,RNA-Seq,stool,ETOH
SRR769438_stool_ETOH,RNA-Seq,stool,ETOH
SRR769439_stool_RNAlater,RNA-Seq,stool,RNAlater
SRR769440_stool_Whole,RNA-Seq,stool,Whole
SRR769441_stool_RNAlater,RNA-Seq,stool,RNAlater
SRR769442_stool_Whole,RNA-Seq,stool,Whole
SRR769509_stool_RNAlater,WGS,stool,RNAlater
SRR769510_stool_RNAlater,WGS,stool,RNAlater
SRR769511_saliva_Saliva,WGS,saliva,Saliva
SRR769512_saliva_Saliva,WGS,saliva,Saliva
SRR769513_stool_Whole,WGS,stool,Whole
SRR769514_stool_Whole,WGS,stool,Whole
SRR769515_stool_Whole,WGS,stool,Whole
SRR769516_stool_ETOH,WGS,stool,ETOH
SRR769518_stool_Whole,WGS,stool,Whole
SRR769519_stool_ETOH,WGS,stool,ETOH
SRR769520_stool_RNAlater,WGS,stool,RNAlater
SRR769521_saliva_Saliva,WGS,saliva,Saliva
SRR769522_saliva_Saliva,WGS,saliva,Saliva
SRR769523_stool_Whole,WGS,stool,Whole
SRR769524_stool_ETOH,WGS,stool,ETOH
SRR769525_stool_ETOH,WGS,stool,ETOH
SRR769526_stool_RNAlater,WGS,stool,RNAlater
SRR769527_stool_RNAlater,WGS,stool,RNAlater
SRR769528_stool_RNAlater,WGS,stool,RNAlater
SRR769529_stool_Whole,WGS,stool,Whole
SRR769530_stool_ETOH,WGS,stool,ETOH
SRR769531_stool_RNAlater,WGS,stool,RNAlater
SRR769532_stool_ETOH,WGS,stool,ETOH
SRR769533_stool_RNAlater,WGS,stool,RNAlater
SRR769534_stool_ETOH,WGS,stool,ETOH
SRR769535_saliva_Saliva,WGS,saliva,Saliva
SRR769536_saliva_Saliva,WGS,saliva,Saliva
SRR769537_stool_Whole,WGS,stool,Whole
SRR769538_stool_ETOH,WGS,stool,ETOH
SRR769539_saliva_Saliva,WGS,saliva,Saliva
SRR769540_stool_Whole,WGS,stool,Whole
