species,region
Abbottina rivularis,12s
Acanthogobius flavimanus,12s
Acanthogobius hasta,12s
Acanthogobius lactipes,12s
Acanthopagrus latus,12s
Acanthopagrus schlegelii,12s
Acentrogobius sp. 2,12s
Acentrogobius virgatulus,12s
Acheilognathus cyanostigma,12s
Acheilognathus longipinnis,12s
Acheilognathus macropterus,12s
Acheilognathus melanogaster,12s
Acheilognathus rhombeus,12s
Acheilognathus tabira erythropterus,12s
Acheilognathus tabira jordani,12s
Acheilognathus tabira nakamurae,12s
Acheilognathus tabira tabira,12s
Acheilognathus tabira tohokuensis,12s
Acheilognathus typus,12s
Acipenser medirostris,12s
Anguilla japonica,12s
Anguilla marmorata,12s
Aphyocypris chinensis,12s
Apocryptodon punctatus,12s
Awaous melanocephalus,12s
Barbatula oreas,12s
Biwia yodoensis,12s
Biwia zezera,12s
Boleophthalmus pectinirostris,12s
Butis amboinensis,12s
Callogobius tanegasimae,12s
Carassius buergeri buergeri,12s
Carassius buergeri grandoculis,12s
Carassius buergeri subsp. 1,12s
Carassius buergeri subsp. 2,12s
Carassius cuvieri,12s
