sample	r1	r2
SRR769395	SRR769395_1.fastq.gz	SRR769395_2.fastq.gz
SRR769396	SRR769396_1.fastq.gz	SRR769396_2.fastq.gz
SRR769397	SRR769397_1.fastq.gz	SRR769397_2.fastq.gz
SRR769398	SRR769398_1.fastq.gz	SRR769398_2.fastq.gz
SRR769399	SRR769399_1.fastq.gz	SRR769399_2.fastq.gz
SRR769400	SRR769400_1.fastq.gz	SRR769400_2.fastq.gz
SRR769401	SRR769401_1.fastq.gz	SRR769401_2.fastq.gz
SRR769402	SRR769402_1.fastq.gz	SRR769402_2.fastq.gz
SRR769403	SRR769403_1.fastq.gz	SRR769403_2.fastq.gz
SRR769404	SRR769404_1.fastq.gz	SRR769404_2.fastq.gz
SRR769405	SRR769405_1.fastq.gz	SRR769405_2.fastq.gz
SRR769406	SRR769406_1.fastq.gz	SRR769406_2.fastq.gz
SRR769407	SRR769407_1.fastq.gz	SRR769407_2.fastq.gz
SRR769408	SRR769408_1.fastq.gz	SRR769408_2.fastq.gz
SRR769409	SRR769409_1.fastq.gz	SRR769409_2.fastq.gz
SRR769410	SRR769410_1.fastq.gz	SRR769410_2.fastq.gz
SRR769411	SRR769411_1.fastq.gz	SRR769411_2.fastq.gz
SRR769412	SRR769412_1.fastq.gz	SRR769412_2.fastq.gz
SRR769413	SRR769413_1.fastq.gz	SRR769413_2.fastq.gz
SRR769414	SRR769414_1.fastq.gz	SRR769414_2.fastq.gz
SRR769415	SRR769415_1.fastq.gz	SRR769415_2.fastq.gz
SRR769416	SRR769416_1.fastq.gz	SRR769416_2.fastq.gz
SRR769417	SRR769417_1.fastq.gz	SRR769417_2.fastq.gz
SRR769418	SRR769418_1.fastq.gz	SRR769418_2.fastq.gz
SRR769419	SRR769419_1.fastq.gz	SRR769419_2.fastq.gz
SRR769420	SRR769420_1.fastq.gz	SRR769420_2.fastq.gz
SRR769421	SRR769421_1.fastq.gz	SRR769421_2.fastq.gz
SRR769422	SRR769422_1.fastq.gz	SRR769422_2.fastq.gz
SRR769423	SRR769423_1.fastq.gz	SRR769423_2.fastq.gz
SRR769424	SRR769424_1.fastq.gz	SRR769424_2.fastq.gz
SRR769425	SRR769425_1.fastq.gz	SRR769425_2.fastq.gz
SRR769426	SRR769426_1.fastq.gz	SRR769426_2.fastq.gz
SRR769427	SRR769427_1.fastq.gz	SRR769427_2.fastq.gz
SRR769428	SRR769428_1.fastq.gz	SRR769428_2.fastq.gz
SRR769429	SRR769429_1.fastq.gz	SRR769429_2.fastq.gz
SRR769430	SRR769430_1.fastq.gz	SRR769430_2.fastq.gz
SRR769431	SRR769431_1.fastq.gz	SRR769431_2.fastq.gz
SRR769432	SRR769432_1.fastq.gz	SRR769432_2.fastq.gz
SRR769433	SRR769433_1.fastq.gz	SRR769433_2.fastq.gz
SRR769434	SRR769434_1.fastq.gz	SRR769434_2.fastq.gz
SRR769435	SRR769435_1.fastq.gz	SRR769435_2.fastq.gz
SRR769436	SRR769436_1.fastq.gz	SRR769436_2.fastq.gz
SRR769437	SRR769437_1.fastq.gz	SRR769437_2.fastq.gz
SRR769438	SRR769438_1.fastq.gz	SRR769438_2.fastq.gz
SRR769439	SRR769439_1.fastq.gz	SRR769439_2.fastq.gz
SRR769440	SRR769440_1.fastq.gz	SRR769440_2.fastq.gz
SRR769441	SRR769441_1.fastq.gz	SRR769441_2.fastq.gz
SRR769442	SRR769442_1.fastq.gz	SRR769442_2.fastq.gz
SRR769509	SRR769509_1.fastq.gz	SRR769509_2.fastq.gz
SRR769510	SRR769510_1.fastq.gz	SRR769510_2.fastq.gz
SRR769511	SRR769511_1.fastq.gz	SRR769511_2.fastq.gz
SRR769512	SRR769512_1.fastq.gz	SRR769512_2.fastq.gz
SRR769513	SRR769513_1.fastq.gz	SRR769513_2.fastq.gz
SRR769514	SRR769514_1.fastq.gz	SRR769514_2.fastq.gz
SRR769515	SRR769515_1.fastq.gz	SRR769515_2.fastq.gz
SRR769516	SRR769516_1.fastq.gz	SRR769516_2.fastq.gz
SRR769518	SRR769518_1.fastq.gz	SRR769518_2.fastq.gz
SRR769519	SRR769519_1.fastq.gz	SRR769519_2.fastq.gz
SRR769520	SRR769520_1.fastq.gz	SRR769520_2.fastq.gz
SRR769521	SRR769521_1.fastq.gz	SRR769521_2.fastq.gz
SRR769522	SRR769522_1.fastq.gz	SRR769522_2.fastq.gz
SRR769523	SRR769523_1.fastq.gz	SRR769523_2.fastq.gz
SRR769524	SRR769524_1.fastq.gz	SRR769524_2.fastq.gz
SRR769525	SRR769525_1.fastq.gz	SRR769525_2.fastq.gz
SRR769526	SRR769526_1.fastq.gz	SRR769526_2.fastq.gz
SRR769527	SRR769527_1.fastq.gz	SRR769527_2.fastq.gz
SRR769528	SRR769528_1.fastq.gz	SRR769528_2.fastq.gz
SRR769529	SRR769529_1.fastq.gz	SRR769529_2.fastq.gz
SRR769530	SRR769530_1.fastq.gz	SRR769530_2.fastq.gz
SRR769531	SRR769531_1.fastq.gz	SRR769531_2.fastq.gz
SRR769533	SRR769533_1.fastq.gz	SRR769533_2.fastq.gz
SRR769534	SRR769534_1.fastq.gz	SRR769534_2.fastq.gz
SRR769535	SRR769535_1.fastq.gz	SRR769535_2.fastq.gz
SRR769536	SRR769536_1.fastq.gz	SRR769536_2.fastq.gz
SRR769537	SRR769537_1.fastq.gz	SRR769537_2.fastq.gz
SRR769539	SRR769539_1.fastq.gz	SRR769539_2.fastq.gz
SRR769540	SRR769540_1.fastq.gz	SRR769540_2.fastq.gz
